crate_name,input_data,output_data,task_category
wyz,"{""buggy_code"": ""impl<I> Bidi<I>\nwhere I: DoubleEndedIterator\n{\n    #[inline]\n    fn last(mut self) -> Option<Self::Item> {\n        self.next_back()\n    }\n}"", ""code_context"": ""pub struct Bidi<I>\nwhere I: DoubleEndedIterator\n{\n    inner: I,\n    next: fn(&mut I) -> Option<<I as Iterator>::Item>,\n    next_back: fn(&mut I) -> Option<<I as Iterator>::Item>,\n    nth: fn(&mut I, usize) -> Option<<I as Iterator>::Item>,\n    nth_back: fn(&mut I, usize) -> Option<<I as Iterator>::Item>,\n}\n\nimpl<I> Bidi<I>\nwhere I: DoubleEndedIterator\n{\n    pub fn new<II>(iter: II, cond: bool) -> Self\n    where II: IntoIterator<IntoIter = I> {\n        let inner = iter.into_iter();\n        if cond {\n            Self {\n                inner,\n                next: <I as DoubleEndedIterator>::next_back,\n                next_back: <I as Iterator>::next,\n                nth: <I as DoubleEndedIterator>::nth_back,\n                nth_back: <I as Iterator>::nth,\n            }\n        } else {\n            Self {\n                inner,\n                next: <I as Iterator>::next,\n                next_back: <I as DoubleEndedIterator>::next_back,\n                nth: <I as Iterator>::nth,\n                nth_back: <I as DoubleEndedIterator>::nth_back,\n            }\n        }\n    }\n}""}","{""fixed_code"": ""impl<I> Bidi<I>\nwhere I: DoubleEndedIterator\n{\n    #[inline]\n    fn last(mut self) -> Option<Self::Item> {\n        // Return None if the iterator is empty to avoid calling next_back on an empty iterator.\n        if self.inner.size_hint().0 == 0 {\n            return None;\n        }\n        self.next_back()\n    }\n}"", ""bug_description"": ""The `last` method calls `next_back()` without checking whether the underlying iterator is empty. When the iterator has no elements, `next_back()` may panic or exhibit undefined behavior. The fix adds an explicit emptiness check using `size_hint()` and returns `None` for an empty iterator before delegating to `next_back()`.""}",bug_detection
wyz,"{""buggy_code"": ""fn normalize(\n    self,\n    start: impl Into<Option<usize>>,\n    end: impl Into<Option<usize>>,\n) -> Range<usize> {\n    let start = match self.start_bound() {\n        Bound::Unbounded => start.into().unwrap_or(0),\n        Bound::Included(&v) => v,\n        Bound::Excluded(&v) => v.saturating_add(1),\n    };\n    let end = match self.end_bound() {\n        Bound::Unbounded => end.into().unwrap_or(!0),\n        Bound::Included(&v) => v.saturating_add(1),\n        Bound::Excluded(&v) => v,\n    };\n    if start > end {\n        end .. start\n    } else {\n        start .. end\n    }\n}"", ""code_context"": ""use core::ops::{Bound, Range, RangeBounds};\n\npub trait RangeExt<T>: RangeBounds<T>\nwhere\n    T: Ord,\n{\n    fn normalize(\n        self,\n        start: impl Into<Option<T>>,\n        end: impl Into<Option<T>>,\n    ) -> Range<T>;\n}\n\nimpl<R> RangeExt<usize> for R\nwhere\n    R: RangeBounds<usize>,\n{\n    fn normalize(\n        self,\n        start: impl Into<Option<usize>>,\n        end: impl Into<Option<usize>>,\n    ) -> Range<usize> {\n        // The real implementation is provided in the buggy/fixed snippets.\n        unimplemented!()\n    }\n}""}","{""fixed_code"": ""fn normalize(\n    self,\n    start: impl Into<Option<usize>>,\n    end: impl Into<Option<usize>>,\n) -> Range<usize> {\n    let start = match self.start_bound() {\n        Bound::Unbounded => start.into().unwrap_or(0),\n        Bound::Included(&v) => v,\n        Bound::Excluded(&v) => v.saturating_add(1),\n    };\n    let end = match self.end_bound() {\n        Bound::Unbounded => end.into().unwrap_or(!0),\n        Bound::Included(&v) => v.saturating_add(1),\n        Bound::Excluded(&v) => v,\n    };\n    if start > end {\n        // Return an empty range when the computed start exceeds the end.\n        start..start\n    } else {\n        start..end\n    }\n}"", ""bug_description"": ""When `start` is greater than `end`, the original implementation returns a reversed range (`end..start`). In Rust a reversed range is empty, but constructing it this way is confusing and can lead to incorrect logic elsewhere. The fix returns an explicit empty range where `start == end`, making the intent clear and avoiding accidental misuse of a reversed range.""}",bug_detection
wyz,"{""buggy_code"": ""fn intersection<R2>(self, other: R2) -> Option<Range<usize>>\nwhere\n    R2: RangeExt<usize>,\n{\n    let Range { start: a1, end: a2 } = self.normalize(None, None);\n    let Range { start: b1, end: b2 } = other.normalize(None, None);\n    if b1 < a1 {\n        return (b1 .. b2).intersection(a1 .. a2);\n    }\n    if !(a1 .. a2).contains(&b1) {\n        return None;\n    }\n    let start = a1.max(b1);\n    let end = a2.min(b2);\n    if start > end {\n        Some(end .. start)\n    } else {\n        Some(start .. end)\n    }\n}"", ""code_context"": ""use core::ops::{Bound, Range, RangeBounds};\n\npub trait RangeExt<T>: RangeBounds<T>\nwhere\n    T: Ord,\n{\n    fn normalize(\n        self,\n        start: impl Into<Option<T>>,\n        end: impl Into<Option<T>>,\n    ) -> Range<T>;\n\n    fn intersection<R>(self, other: R) -> Option<Range<T>>\n    where\n        R: RangeExt<T>;\n}\n\nimpl<R> RangeExt<usize> for R\nwhere\n    R: RangeBounds<usize>,\n{\n    fn normalize(\n        self,\n        start: impl Into<Option<usize>>,\n        end: impl Into<Option<usize>>,\n    ) -> Range<usize> {\n        unimplemented!()\n    }\n\n    fn intersection<R2>(self, other: R2) -> Option<Range<usize>>\n    where\n        R2: RangeExt<usize>,\n    {\n        // The real implementation is provided in the buggy/fixed snippets.\n        unimplemented!()\n    }\n}""}","{""fixed_code"": ""fn intersection<R2>(self, other: R2) -> Option<Range<usize>>\nwhere\n    R2: RangeExt<usize>,\n{\n    let Range { start: a1, end: a2 } = self.normalize(None, None);\n    let Range { start: b1, end: b2 } = other.normalize(None, None);\n    if b1 < a1 {\n        // Reorder arguments so that the first range starts no later than the second.\n        return other.intersection(self);\n    }\n    if !(a1 .. a2).contains(&b1) {\n        return None;\n    }\n    let start = a1.max(b1);\n    let end = a2.min(b2);\n    if start >= end {\n        // No overlap.\n        None\n    } else {\n        Some(start .. end)\n    }\n}"", ""bug_description"": ""The original `intersection` method recursed with a newly constructed range `(b1..b2).intersection(a1..a2)`, which does not call the trait implementation and can cause infinite recursion or incorrect ordering. It also returned a reversed range for empty intersections. The fix reorders the arguments by delegating to `other.intersection(self)` when `b1 < a1` and returns `None` when the computed start is not less than the end, correctly handling empty intersections.""}",bug_detection
jsonrpsee-types,"{""code_context"": ""use serde::de::Deserializer;\nuse serde::ser::Serializer;\nuse serde::{Deserialize, Serialize};\nuse serde_json::value::RawValue;\nuse std::borrow::Cow as StdCow;\nuse thiserror::Error;\n\n#[derive(Debug, Deserialize, Serialize, Clone, Error)]\npub struct ErrorObject<'a> {\n    code: ErrorCode,\n    message: StdCow<'a, str>,\n    #[serde(skip_serializing_if = \""Option::is_none\"")]\n    data: Option<StdCow<'a, RawValue>>,\n}\n\nimpl<'a> ErrorObject<'a> {\n    pub fn owned<S: Serialize>(code: i32, message: impl Into<String>, data: Option<S>) -> ErrorObject<'static> {\n        let data = data.and_then(|d| serde_json::value::to_raw_value(&d).ok());\n        ErrorObject { code: code.into(), message: message.into().into(), data: data.map(StdCow::Owned) }\n    }\n}\n\nenum ErrorCode {\n    ParseError,\n    // other variants omitted for brevity\n}\n\nimpl From<ErrorCode> for i32 {\n    fn from(code: ErrorCode) -> i32 { 0 }\n}\n\nimpl ErrorCode {\n    fn into(self) -> ErrorObject<'static> { ErrorObject::owned(0, \""\"", None) }\n}"", ""code_to_test"": ""pub fn owned<S: Serialize>(code: i32, message: impl Into<String>, data: Option<S>) -> ErrorObject<'static> {\n    let data = data.and_then(|d| serde_json::value::to_raw_value(&d).ok());\n    ErrorObject { code: code.into(), message: message.into().into(), data: data.map(StdCow::Owned) }\n}"", ""test_context"": null}","{""test_cases"": [""#[test]\nfn deserialize_works() {\n    let ser = r#\""{\""code\"":-32700,\""message\"":\""Parse error\""}\""#;\n    let exp: ErrorObject = ErrorCode::ParseError.into();\n    let err: ErrorObject = serde_json::from_str(ser).unwrap();\n    assert_eq!(exp, err);\n}"", ""#[test]\nfn deserialize_with_optional_data() {\n    let ser = r#\""{\""code\"":-32700,\""message\"":\""Parse error\"", \""data\"":\""vegan\""}\""#;\n    let data = serde_json::value::to_raw_value(&\""vegan\"").unwrap();\n    let exp = ErrorObject::owned(ErrorCode::ParseError.code(), \""Parse error\"", Some(data));\n    let err: ErrorObject = serde_json::from_str(ser).unwrap();\n    assert_eq!(exp, err);\n}"", ""#[test]\nfn deserialized_error_with_quoted_str() {\n    let raw = r#\""{\n            \""code\"": 1002,\n            \""message\"": \""desc: \\\""Could not decode `ChargeAssetTxPayment::asset_id`\\\"" } })\"",\n            \""data\"": \""\\\\\\\""validate_transaction\\\\\\\""\""\n    }\""#;\n    let err: ErrorObject = serde_json::from_str(raw).unwrap();\n\n    let data = serde_json::value::to_raw_value(&\""\\\\\\\""validate_transaction\\\\\\\""\"").unwrap();\n    let exp = ErrorObject::borrowed(\n        1002,\n        \""desc: \\\""Could not decode `ChargeAssetTxPayment::asset_id`\\\"" } })\"",\n        Some(&*data),\n    );\n\n    assert_eq!(err, exp);\n}"", ""#[test]\nfn serialize_works() {\n    let exp = r#\""{\""code\"":-32603,\""message\"":\""Internal error\""}\""#;\n    let err: ErrorObject = ErrorCode::InternalError.into();\n    let ser = serde_json::to_string(&err).unwrap();\n    assert_eq!(exp, ser);\n}"", ""#[test]\nfn serialize_optional_data_works() {\n    let exp = r#\""{\""code\"":-32699,\""message\"":\""food\"",\""data\"":\""not vegan\""}\""#;\n    let data = serde_json::value::to_raw_value(&\""not vegan\"").unwrap();\n    let ser = serde_json::to_string(&ErrorObject::owned(-32699, \""food\"", Some(data))).unwrap();\n    assert_eq!(exp, ser);\n}""]}",test_generation
jsonrpsee-types,"{""code_context"": ""use std::borrow::Cow;\nuse std::fmt;\nuse serde::de::{self, Deserializer, Unexpected, Visitor};\nuse serde::ser::Serializer;\nuse serde::{Deserialize, Serialize};\nuse serde_json::Value as JsonValue;\n\n#[derive(Clone, Debug)]\npub struct Params<'a>(Option<Cow<'a, str>>);\n\nimpl<'a> Params<'a> {\n    pub fn new(raw: Option<&'a str>) -> Self {\n        Self(raw.map(|r| r.trim().into()))\n    }\n\n    // other methods omitted for brevity\n}\n\npub struct ParamsSequence<'a>(&'a str);\n\nimpl<'a> ParamsSequence<'a> {\n    // methods omitted for brevity\n}"", ""code_to_test"": ""pub fn new(raw: Option<&'a str>) -> Self {\n    Self(raw.map(|r| r.trim().into()))\n}"", ""test_context"": null}","{""test_cases"": [""#[test]\nfn params_parse() {\n    let none = Params::new(None);\n    assert!(none.sequence().next::<u64>().is_err());\n    assert!(none.parse::<Option<u64>>().is_ok());\n    assert_eq!(none.len_bytes(), 0);\n\n    let array_params = Params::new(Some(\""[1, 2, 3]\""));\n    assert_eq!(array_params.len_bytes(), 9);\n    let arr: Result<[u64; 3], _> = array_params.parse();\n    assert!(arr.is_ok());\n\n    let mut seq = array_params.sequence();\n\n    assert_eq!(seq.next::<u64>().unwrap(), 1);\n    assert_eq!(seq.next::<u64>().unwrap(), 2);\n    assert_eq!(seq.next::<u64>().unwrap(), 3);\n    assert!(seq.next::<u64>().is_err());\n\n    let array_one = Params::new(Some(\""[1]\""));\n    assert_eq!(array_one.len_bytes(), 3);\n    let one: Result<u64, _> = array_one.one();\n    assert!(one.is_ok());\n\n    let object_params = Params::new(Some(r#\""{\""beef\"":99,\""dinner\"":0}\""#));\n    assert_eq!(object_params.len_bytes(), 22);\n    let obj: Result<serde_json::Value, _> = object_params.parse();\n    assert!(obj.is_ok());\n}"", ""#[test]\nfn params_sequence_optional_ignore_empty() {\n    let params = Params::new(Some(r#\""[\\\""foo\\\"", \\\""bar\\\""]\""#));\n    let mut seq = params.sequence();\n\n    assert_eq!(seq.optional_next::<&str>().unwrap(), Some(\""foo\""));\n    assert_eq!(seq.optional_next::<&str>().unwrap(), Some(\""bar\""));\n\n    let params = Params::new(Some(r#\""[]\""#));\n    let mut seq = params.sequence();\n    assert!(seq.optional_next::<&str>().unwrap().is_none());\n\n    let params = Params::new(Some(r#\""   []   \""#));\n    let mut seq = params.sequence();\n    assert!(seq.optional_next::<&str>().unwrap().is_none());\n\n    let params = Params::new(Some(r#\""{}\""#));\n    let mut seq = params.sequence();\n    assert!(seq.optional_next::<&str>().is_err(), \""JSON object not supported by RpcSequence\"");\n}""]}",test_generation
jsonrpsee-types,"{""code_context"": ""use std::borrow::Cow;\nuse http::Extensions;\nuse serde::{Deserialize, Serialize};\nuse serde_json::value::RawValue;\n\n#[derive(Serialize, Deserialize, Debug, Clone)]\npub struct Request<'a> {\n    pub jsonrpc: TwoPointZero,\n    pub id: Id<'a>,\n    pub method: Cow<'a, str>,\n    #[serde(skip_serializing_if = \""Option::is_none\"")]\n    pub params: Option<Cow<'a, RawValue>>,\n    #[serde(skip)]\n    pub extensions: Extensions,\n}\n\nimpl<'a> Request<'a> {\n    pub fn borrowed(method: &'a str, params: Option<&'a RawValue>, id: Id<'a>) -> Self {\n        Self {\n            jsonrpc: TwoPointZero,\n            id,\n            method: Cow::Borrowed(method),\n            params: params.map(Cow::Borrowed),\n            extensions: Extensions::new(),\n        }\n    }\n}\n\nenum Id<'a> {\n    Null,\n    Number(u64),\n    Str(Cow<'a, str>),\n}\n\nenum TwoPointZero {\n    // simplified for context\n}\n"", ""code_to_test"": ""pub fn borrowed(method: &'a str, params: Option<&'a RawValue>, id: Id<'a>) -> Self {\n    Self {\n        jsonrpc: TwoPointZero,\n        id,\n        method: Cow::Borrowed(method),\n        params: params.map(Cow::Borrowed),\n        extensions: Extensions::new(),\n    }\n}"", ""test_context"": null}","{""test_cases"": [""#[test]\nfn deserialize_call() {\n    let method = \""subtract\"";\n    let params = \""[42, 23]\"";\n\n    let test_vector = vec![\n        (\n            r#\""{\""jsonrpc\"":\""2.0\"", \""method\"":\""subtract\"", \""params\"":[42, 23], \""id\"":1}\""#, \n            Id::Number(1),\n            Some(params),\n            method,\n        ),\n        (r#\""{\""jsonrpc\"":\""2.0\"", \""method\"":\""subtract\"", \""id\"":null}\""#, Id::Null, None, method),\n        (r#\""{\""jsonrpc\"":\""2.0\"", \""method\"":\""\\\""m\"", \""id\"":null}\""#, Id::Null, None, \""\\\""m\""),\n    ];\n\n    for (ser, id, params, method) in test_vector.into_iter() {\n        let request = serde_json::from_str::<Request>(ser).unwrap();\n        assert_eq!(request.jsonrpc, TwoPointZero);\n        assert_eq!(request.id, id);\n        assert_eq!(request.method, method);\n        assert_eq!(request.params.as_ref().map(|p| RawValue::get(p)), params);\n    }\n}"", ""#[test]\nfn serialize_call() {\n    let method = \""subtract\"";\n    let id = Id::Number(1);\n    let params = Some(serde_json::value::to_raw_value(&[42, 23]).unwrap());\n\n    let test_vector: &[(&'static str, Option<_>, Option<_>, &'static str)] = &[\n        (\n            r#\""{\""jsonrpc\"":\""2.0\"",\""id\"":1,\""method\"":\""subtract\"",\""params\"":[42,23]}\""#, \n            Some(id.clone()),\n            params.clone(),\n            method,\n        ),\n        (r#\""{\""jsonrpc\"":\""2.0\"",\""id\"":1,\""method\"":\""\\\""m\""}\""#, Some(id.clone()), None, \""\\\""m\""),\n        (r#\""{\""jsonrpc\"":\""2.0\"",\""id\"":null,\""method\"":\""subtract\"",\""params\"":[42,23]}\""#, None, params, method),\n        (r#\""{\""jsonrpc\"":\""2.0\"",\""id\"":1,\""method\"":\""subtract\""}\""#, Some(id.clone()), None, method),\n        (r#\""{\""jsonrpc\"":\""2.0\"",\""id\"":null,\""method\"":\""subtract\""}\""#, None, None, method),\n    ];\n\n    for (ser, id, params, method) in test_vector.iter().cloned() {\n        let request = Request::borrowed(method, params.as_deref(), id.unwrap_or(Id::Null));\n        let request_str = serde_json::to_string(&request).unwrap();\n        assert_eq!(&request_str, ser);\n    }\n}""]}",test_generation
libp2p-floodsub,"{""code"": ""let __placeholder__ = Topic::new(\""rust-lang\"");\nif !self.subscribed_topics.iter().any(|t| t.id() == __placeholder__.id()) {\n    self.subscribed_topics.push(__placeholder__.clone());\n}"", ""code_context"": ""pub struct Topic(String);\nimpl Topic {\n    pub fn new<S: Into<String>>(name: S) -> Self {\n        Topic(name.into())\n    }\n    pub fn id(&self) -> &str {\n        &self.0\n    }\n}""}","{""variable_name"": ""new_topic""}",variable_naming
libp2p-floodsub,"{""code"": ""let __placeholder__ = FloodsubMessage {\n    source: self.config.local_peer_id,\n    data: Bytes::from(\""Hello world\""),\n    sequence_number: rand::random::<[u8; 20]>().to_vec(),\n    topics: vec![Topic::new(\""updates\"")],\n};"", ""code_context"": ""use bytes::Bytes;\nuse libp2p_identity::PeerId;\npub struct Topic(String);\nimpl Topic {\n    pub fn new<S: Into<String>>(name: S) -> Self {\n        Topic(name.into())\n    }\n}\npub struct FloodsubMessage {\n    pub source: PeerId,\n    pub data: Bytes,\n    pub sequence_number: Vec<u8>,\n    pub topics: Vec<Topic>,\n}""}","{""variable_name"": ""outgoing_message""}",variable_naming
libp2p-floodsub,"{""code"": ""let __placeholder__: FnvHashSet<PeerId> = self.target_peers.clone();\nfor _ in __placeholder__.iter() {}"", ""code_context"": ""use fnv::FnvHashSet;\nuse libp2p_identity::PeerId;""}","{""variable_name"": ""target_peers_set""}",variable_naming
datafusion-datasource-csv,"{""code"": ""let mut conf = self.clone();"", ""code_context"": ""pub struct CsvSource {\n    batch_size: Option<usize>,\n    file_schema: Option<SchemaRef>,\n    file_projection: Option<Vec<usize>>,\n    pub(crate) has_header: bool,\n    delimiter: u8,\n    quote: u8,\n    terminator: Option<u8>,\n    escape: Option<u8>,\n    comment: Option<u8>,\n    metrics: ExecutionPlanMetricsSet,\n    projected_statistics: Option<Statistics>,\n    schema_adapter_factory: Option<Arc<dyn SchemaAdapterFactory>>,\n}\n\nimpl CsvSource {\n    pub fn with_escape(&self, escape: Option<u8>) -> Self {\n        let mut conf = self.clone();\n        conf.escape = escape;\n        conf\n    }\n}""}","{""next_api_call"": ""conf.escape = escape;""}",api_usage_prediction
datafusion-datasource-csv,"{""code"": ""let mut conf = self.clone();"", ""code_context"": ""pub struct CsvSource {\n    batch_size: Option<usize>,\n    file_schema: Option<SchemaRef>,\n    file_projection: Option<Vec<usize>>,\n    pub(crate) has_header: bool,\n    delimiter: u8,\n    quote: u8,\n    terminator: Option<u8>,\n    escape: Option<u8>,\n    comment: Option<u8>,\n    metrics: ExecutionPlanMetricsSet,\n    projected_statistics: Option<Statistics>,\n    schema_adapter_factory: Option<Arc<dyn SchemaAdapterFactory>>,\n}\n\nimpl CsvSource {\n    pub fn with_terminator(&self, terminator: Option<u8>) -> Self {\n        let mut conf = self.clone();\n        conf.terminator = terminator;\n        conf\n    }\n}""}","{""next_api_call"": ""conf.terminator = terminator;""}",api_usage_prediction
